,season_column,tm,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
44,1953,INO,1058.9,3049.4,2.96785,0.0,0.0,0.0,1006.2,3084.4,2.67735,2.3709,1009.7,1514.95,0.0,0.0,1891.65,667.8,0.0,0.0,0.0,1249.7,3807.15,216.0,True
45,1953,MLH,1190.6,3011.2000000000003,4.5584,0.0,0.0,0.0,1156.8,3376.5,4.0544,3.567,981.6,1588.75,0.0,0.0,2104.5,736.6,0.0,0.0,0.0,1496.15,3882.2999999999997,438.0,False
46,1953,MNL,1267.0,3095.1,2.51775,0.0,0.0,0.0,1216.6,3282.5,2.1801,1.9069,976.1,1449.95,0.0,0.0,2083.75,675.6,0.0,0.0,0.0,1313.75,4218.3,320.0,True
47,1953,NYK,1191.8,3195.1,3.2687,0.0,0.0,0.0,1090.8,3097.2999999999997,2.86825,2.5957,1080.2,1690.55,0.0,0.0,2198.65,867.2,0.0,0.0,0.0,1407.0,4242.099999999999,464.0,True
48,1953,PHW,1271.8999999999999,3300.2,3.92555,0.0,0.0,0.0,1231.0,3545.5,3.42955,3.1243,1007.6,1611.75,0.0,0.0,2175.4,884.3000000000001,0.0,0.0,0.0,1322.65,4009.3999999999996,356.0,False
49,1953,ROC,1237.7,3277.9,2.3727,0.0,0.0,0.0,1124.8,3270.7,2.06975,1.8248,1220.7,1782.0500000000002,0.0,0.0,2120.35,833.6,0.0,0.0,0.0,1502.75,4311.35,332.0,True
50,1953,SYR,1158.4,3087.6,2.9866,0.0,0.0,0.0,1090.4,3189.2000000000003,2.6704,2.4206,1305.5,1915.65,0.0,0.0,1989.95,799.4,0.0,0.0,0.0,1488.25,4332.65,330.0,True
52,1954,BLB,1235.7,3084.6000000000004,4.13675,0.0,0.0,0.0,1216.2,3433.3,3.7389,3.3973999999999998,1000.6999999999999,1625.3000000000002,0.0,0.0,2321.25,723.4000000000001,0.0,0.0,0.0,1261.5,4014.4999999999995,390.0,False
53,1954,BOS,1375.3,3355.4,2.8758,0.0,0.0,0.0,1263.8,3392.9,2.4972000000000003,2.1449,1133.8,1675.0,0.0,0.0,2158.5,963.0,0.0,0.0,0.0,1339.75,4489.65,284.0,True
54,1954,FTW,1201.2,3084.5,3.45755,0.0,0.0,0.0,1121.0,3177.2,3.09235,2.7961,1051.7,1546.3,0.0,0.0,2242.4500000000003,860.6,0.0,0.0,0.0,1164.65,4005.45,342.0,True
